polygon_id,polygon_name,point_id,point_name,point_wikidata_id
7958146,Macroregiunea Trei,462256509,Târgșoru Vechi,Q2720363
7958146,Macroregiunea Trei,280740283,Amara,Q276009
7958146,Macroregiunea Trei,135038276,Topoloveni,Q739444
7958146,Macroregiunea Trei,8232251997,Sfântul Anton de Padova,Q167477
7958146,Macroregiunea Trei,442892522,Rasa,Q12146987
7958146,Macroregiunea Trei,460186570,Ragu,Q12146525
1264099,,448216193,Cojasca,Q2621219
7958146,Macroregiunea Trei,448216193,Cojasca,Q2621219
7958146,Macroregiunea Trei,432783473,Republica,Q3116206
10541103,Sântămăria-Orlea,461632967,Vadu,Q3178675
7958146,Macroregiunea Trei,463178692,Poienarii Vechi,Q12143168
7958146,Macroregiunea Trei,463178775,Bobicești,Q12083135
7958146,Macroregiunea Trei,422880664,Bordeieni,Q12722869
7958146,Macroregiunea Trei,463179138,Râfov,Q5071438
7958146,Macroregiunea Trei,175771928,Cocorăștii Caplii,Q12111515
7958146,Macroregiunea Trei,422881255,Șerbănești,Q12171692
7958146,Macroregiunea Trei,422880570,Săndulești,Q12152087
11349377,Galda de Jos,375528772,Galda de Jos,Q664479
7958146,Macroregiunea Trei,463189535,Beuca,Q2549913
7958146,Macroregiunea Trei,422879696,Gura Pravăț,Q12098483
7958146,Macroregiunea Trei,518726893,Piața Iancului,Q549259
7958146,Macroregiunea Trei,463189267,Bogdana,Q950842
7958146,Macroregiunea Trei,448203236,Satnoeni,Q12150735
7958146,Macroregiunea Trei,460204502,Ciulnița,Q2291791
7958146,Macroregiunea Trei,8238959960,Ilie Oană,Q4415130
7958146,Macroregiunea Trei,422881422,Colțu,Q12111814
7958146,Macroregiunea Trei,422881302,Ianculești,Q12173750
7958146,Macroregiunea Trei,422880818,Malu Vânăt,Q12120968
7958146,Macroregiunea Trei,444683531,Lupșanu,Q12118913
7958146,Macroregiunea Trei,462259725,Valea Pietrei,Q12087561
7958146,Macroregiunea Trei,463180165,Sângeru,Q6455716
7958146,Macroregiunea Trei,422880109,Uleni,Q12164432
7958146,Macroregiunea Trei,422881451,Chirițești,Q12116660
7958146,Macroregiunea Trei,422880829,Valea Bradului,Q12087417
7958146,Macroregiunea Trei,422881551,Tigveni,Q2470433
7958146,Macroregiunea Trei,463180535,Vistieru,Q12093509
7958146,Macroregiunea Trei,280265251,Sohatu,Q12154745
7958146,Macroregiunea Trei,411272447,Plopu,Q14237772
7958146,Macroregiunea Trei,448350741,Răsurile,Q12147714
7958146,Macroregiunea Trei,448357965,Polcești,Q12141970
7958146,Macroregiunea Trei,463189950,Ludăneasca,Q12118640
7958146,Macroregiunea Trei,295842476,Uzunu,Q12163575
12560286,Nadeș,114354228,Țigmandru,Q423405
7958146,Macroregiunea Trei,2634652186,Muzeul Colecțiilor de Artă,Q6940756
7958146,Macroregiunea Trei,422881660,Rățoi,Q12147770
7958146,Macroregiunea Trei,422881578,Dealu Bisericii,Q12103055
7958146,Macroregiunea Trei,155399304,Bălțești,Q278686
7958146,Macroregiunea Trei,448352006,Paicu,Q12137470
7958146,Macroregiunea Trei,341987484,Găiseni,Q2717345
7958146,Macroregiunea Trei,448219641,Săcueni,Q12151750
9714849,Tâmna,460206737,Fața Cremenii,Q12165324
7958146,Macroregiunea Trei,463189475,Băcălești,Q12081691
11349250,Ciugud,422868195,Șeușa,Q755792
1267529,,462600969,Ciocrac,Q12170422
9744212,Valea Mare,444655512,Zorleasca,Q12107080
11349475,Roșia Montană,422870477,Blidești,Q12082997
9833320,Dănicei,463268546,Linia pe Vale,Q12119739
9833345,Bălcești,463262041,Chirculești,Q12116573
12557447,Chețani,460354440,Hădăreni,Q716385
9845361,Tomșani,463296142,Tomșani,Q1909026
7958145,Macroregiunea Unu,463185009,Lupoaia,Q727566
7958145,Macroregiunea Unu,447918804,Hirean,Q12168163
7958145,Macroregiunea Unu,454125004,Broșteni,Q755885
7958145,Macroregiunea Unu,460376389,Batin,Q3895113
7958145,Macroregiunea Unu,454155325,Spinuș de Pomezeu,Q755117
7958145,Macroregiunea Unu,422868489,Ruși,Q3849339
7958145,Macroregiunea Unu,130572409,Zărnești,Q248959
7958145,Macroregiunea Unu,463186081,Bilghez,Q277499
7958145,Macroregiunea Unu,259156206,Borleasa,Q825344
7958145,Macroregiunea Unu,569095951,Poienile de Sub Munte,Q1006101
1295596,,422870065,Valea Mlacii,Q10862266
7958145,Macroregiunea Unu,422870065,Valea Mlacii,Q10862266
7958145,Macroregiunea Unu,422869185,Lupu,Q996505
7958145,Macroregiunea Unu,460203985,Fundoaia,Q1004348
7958145,Macroregiunea Unu,422869304,Tibru,Q3892264
7958145,Macroregiunea Unu,454154635,Alparea,Q519610
7958145,Macroregiunea Unu,460363619,Bezidu Nou,Q853641
7958145,Macroregiunea Unu,460363638,Pripoare,Q1240398
7958145,Macroregiunea Unu,447918370,Mijlocenii Bârgăului,Q610811
7958145,Macroregiunea Unu,422871060,Urdeș,Q7665010
7958145,Macroregiunea Unu,439415508,Hăghig,Q19025
7958145,Macroregiunea Unu,461609290,Cașinu Mic,Q662199
7958145,Macroregiunea Unu,422869652,Pătrușești,Q3640935
7958145,Macroregiunea Unu,462245033,Ilba,Q725179
7958145,Macroregiunea Unu,253401257,Sânmartin,Q13725268
7958145,Macroregiunea Unu,454125063,Roșia,Q1188233
7958145,Macroregiunea Unu,463186951,Piru Nou,Q762428
7958145,Macroregiunea Unu,390754487,Ighiu,Q1022813
7958145,Macroregiunea Unu,422870471,Bălmoșești,Q12081770
7958145,Macroregiunea Unu,422869907,Poienile-Mogoș,Q10862270
7958145,Macroregiunea Unu,462244184,Stoiceni,Q750720
7958145,Macroregiunea Unu,462247795,Sâlța,Q12741796
